epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.13249658048152924,0.8675032258033752,1e-04,0.04470142349600792,0.9552685022354126
1,0.2503601014614105,0.749640166759491,1e-04,0.0655699223279953,0.9341974258422852
2,0.3569129407405853,0.6430869698524475,1e-04,0.36028605699539185,0.6389573216438293
3,0.47431275248527527,0.5256872177124023,1e-04,0.48130014538764954,0.5174232721328735
4,0.5712081789970398,0.42879170179367065,1e-04,0.5828765034675598,0.4179231822490692
5,0.6374927163124084,0.362507164478302,1e-04,0.4520760178565979,0.5482487678527832
6,0.6746043562889099,0.3253953754901886,1e-04,0.6507309079170227,0.3490522503852844
7,0.7167856693267822,0.28321436047554016,1e-04,0.6748483777046204,0.32454708218574524
8,0.7383596897125244,0.2616400420665741,1e-04,0.6987816691398621,0.30086550116539
9,0.7585956454277039,0.24140405654907227,1e-04,0.7194410562515259,0.2773694694042206
10,0.7824541330337524,0.21754561364650726,1e-04,0.7370248436927795,0.26308366656303406
11,0.802002489566803,0.19799722731113434,1e-04,0.7283488512039185,0.27113112807273865
12,0.8105062246322632,0.18949341773986816,1e-04,0.7250214219093323,0.2749413251876831
13,0.812797486782074,0.1872023195028305,1e-04,0.7416887879371643,0.2583150565624237
14,0.8274627923965454,0.1725371927022934,1e-04,0.7456944584846497,0.2539271414279938
15,0.817658543586731,0.18234169483184814,1e-04,0.7565529346466064,0.24313302338123322
16,0.8410785794258118,0.15892097353935242,1e-04,0.7717458605766296,0.2277309000492096
17,0.8449603319168091,0.15503956377506256,1e-04,0.769137978553772,0.23039434850215912
18,0.8593616485595703,0.1406383514404297,1e-04,0.7764331698417664,0.22306393086910248
19,0.8607475757598877,0.1392529159784317,1e-04,0.7742806077003479,0.22599062323570251
20,0.861258864402771,0.13874104619026184,1e-04,0.7825489640235901,0.21836049854755402
21,0.855402946472168,0.14459697902202606,1e-04,0.7427140474319458,0.2573659121990204
22,0.8719529509544373,0.12804670631885529,1e-04,0.7827507257461548,0.21684454381465912
23,0.8802975416183472,0.11970259994268417,1e-04,0.7864962816238403,0.21286140382289886
24,0.8798481822013855,0.12015172839164734,1e-04,0.7811477184295654,0.2191082388162613
25,0.8768196702003479,0.1231803447008133,1e-04,0.7440442442893982,0.2559151351451874
26,0.8722919821739197,0.12770789861679077,1e-04,0.7652431130409241,0.2344246655702591
27,0.8837565779685974,0.11624345928430557,1e-04,0.7514413595199585,0.24844753742218018
28,0.873420000076294,0.1265801042318344,1e-04,0.786247968673706,0.2134850174188614
29,0.895510733127594,0.10448966920375824,1e-05,0.8108221292495728,0.18944254517555237
30,0.9029482007026672,0.09705159813165665,1e-05,0.8107869625091553,0.18896999955177307
31,0.9060966968536377,0.0939033105969429,1e-05,0.8114241361618042,0.18823681771755219
32,0.9083676338195801,0.09163249284029007,1e-05,0.8111635446548462,0.18841178715229034
33,0.910250723361969,0.08974917232990265,1e-05,0.8110684752464294,0.188479945063591
34,0.912286639213562,0.08771321177482605,1e-05,0.8112401366233826,0.18828703463077545
35,0.9137629866600037,0.08623722195625305,1e-05,0.8108056783676147,0.1887357234954834
36,0.9153209924697876,0.08467903733253479,1e-05,0.8101664781570435,0.189360573887825
37,0.9171654582023621,0.08283454179763794,1e-06,0.8098868131637573,0.18963804841041565
38,0.917596161365509,0.08240403234958649,1e-06,0.809589147567749,0.18993757665157318
39,0.9178771376609802,0.08212296664714813,1e-06,0.8093298673629761,0.1901988536119461
40,0.9181205034255981,0.08187942206859589,1e-06,0.8092142939567566,0.19031494855880737
41,0.9183468818664551,0.08165301382541656,1e-06,0.8091141581535339,0.19041523337364197
42,0.9186452031135559,0.08135505020618439,1e-07,0.8093417286872864,0.190187469124794
43,0.9186830520629883,0.0813170000910759,1e-07,0.8094301819801331,0.19009898602962494
44,0.9187152981758118,0.08128491044044495,1e-07,0.8094720244407654,0.1900574415922165
45,0.9187446236610413,0.08125535398721695,1e-07,0.8094862699508667,0.19004303216934204
46,0.9187729954719543,0.08122677356004715,1e-07,0.8094854950904846,0.19004406034946442
47,0.9188014268875122,0.08119843155145645,1e-07,0.8094755411148071,0.19005413353443146
48,0.9188298583030701,0.08117011189460754,1e-07,0.8094615340232849,0.19006839394569397
49,0.918857991695404,0.08114171028137207,1e-07,0.8094444274902344,0.19008536636829376
50,0.9188865423202515,0.08111324161291122,1e-07,0.8094267249107361,0.19010351598262787
51,0.9189151525497437,0.08108467608690262,1e-07,0.8094062805175781,0.19012388586997986
